order,rb,method,cr
1,1,ConfGenX,99.70238095238095
1,2,ConfGenX,99.7752808988764
1,3,ConfGenX,99.51100244498778
1,4,ConfGenX,98.90829694323143
1,5,ConfGenX,97.8902953586498
1,6,ConfGenX,96.27791563275434
1,7,ConfGenX,93.28063241106719
1,8,ConfGenX,86.04651162790698
1,9,ConfGenX,86.52482269503547
1,10,ConfGenX,76.59574468085107
1,11,ConfGenX,67.6923076923077
1,12,ConfGenX,52.38095238095238
1,13,ConfGenX,42.857142857142854
1,14,ConfGenX,72.22222222222223
1,15,ConfGenX,50.0
1,16,ConfGenX,50.0
2,1,Conformator,100.0
2,2,Conformator,100.0
2,3,Conformator,99.26470588235294
2,4,Conformator,99.78165938864629
2,5,Conformator,97.67441860465117
2,6,Conformator,95.53349875930522
2,7,Conformator,94.84126984126983
2,8,Conformator,84.88372093023256
2,9,Conformator,81.56028368794327
2,10,Conformator,79.7872340425532
2,11,Conformator,63.07692307692308
2,12,Conformator,60.97560975609756
2,13,Conformator,42.857142857142854
2,14,Conformator,33.333333333333336
2,15,Conformator,30.0
2,16,Conformator,33.333333333333336
3,1,OMEGA,99.70238095238095
3,2,OMEGA,99.32584269662921
3,3,OMEGA,99.26650366748166
3,4,OMEGA,97.59825327510917
3,5,OMEGA,94.30379746835443
3,6,OMEGA,91.56327543424318
3,7,OMEGA,81.02766798418972
3,8,OMEGA,76.60818713450293
3,9,OMEGA,71.63120567375887
3,10,OMEGA,59.57446808510638
3,11,OMEGA,56.92307692307692
3,12,OMEGA,52.38095238095238
3,13,OMEGA,39.285714285714285
3,14,OMEGA,27.77777777777778
3,15,OMEGA,20.0
3,16,OMEGA,50.0
4,1,RDKit ETKDG,100.0
4,2,RDKit ETKDG,99.7752808988764
4,3,RDKit ETKDG,100.0
4,4,RDKit ETKDG,97.59825327510917
4,5,RDKit ETKDG,95.9830866807611
4,6,RDKit ETKDG,89.82630272952854
4,7,RDKit ETKDG,88.14229249011858
4,8,RDKit ETKDG,87.20930232558139
4,9,RDKit ETKDG,74.46808510638297
4,10,RDKit ETKDG,70.2127659574468
4,11,RDKit ETKDG,51.5625
4,12,RDKit ETKDG,66.66666666666667
4,13,RDKit ETKDG,53.57142857142857
4,14,RDKit ETKDG,61.111111111111114
4,15,RDKit ETKDG,20.0
4,16,RDKit ETKDG,50.0
5,1,ConfGF,98.51190476190476
5,2,ConfGF,97.30337078651685
5,3,ConfGF,94.37652811735941
5,4,ConfGF,89.95633187772926
5,5,ConfGF,77.42616033755274
5,6,ConfGF,66.99751861042184
5,7,ConfGF,44.66403162055336
5,8,ConfGF,43.02325581395349
5,9,ConfGF,24.113475177304963
5,10,ConfGF,18.085106382978722
5,11,ConfGF,16.923076923076923
5,12,ConfGF,14.285714285714286
5,13,ConfGF,3.5714285714285716
5,14,ConfGF,5.555555555555555
5,15,ConfGF,0.0
5,16,ConfGF,0.0
6,1,DMCG,99.10714285714286
6,2,DMCG,94.15730337078652
6,3,DMCG,84.10757946210269
6,4,DMCG,73.79912663755458
6,5,DMCG,61.81434599156118
6,6,DMCG,48.13895781637717
6,7,DMCG,35.573122529644266
6,8,DMCG,30.232558139534884
6,9,DMCG,20.56737588652482
6,10,DMCG,17.02127659574468
6,11,DMCG,10.76923076923077
6,12,DMCG,4.761904761904762
6,13,DMCG,7.142857142857143
6,14,DMCG,11.11111111111111
6,15,DMCG,10.0
6,16,DMCG,16.666666666666668
7,1,GeoDiff,99.70238095238095
7,2,GeoDiff,99.5505617977528
7,3,GeoDiff,99.26650366748166
7,4,GeoDiff,97.16157205240175
7,5,GeoDiff,94.72573839662448
7,6,GeoDiff,90.3225806451613
7,7,GeoDiff,81.02766798418972
7,8,GeoDiff,75.0
7,9,GeoDiff,59.57446808510638
7,10,GeoDiff,47.87234042553192
7,11,GeoDiff,41.53846153846154
7,12,GeoDiff,19.047619047619047
7,13,GeoDiff,21.428571428571427
7,14,GeoDiff,5.555555555555555
7,15,GeoDiff,0.0
7,16,GeoDiff,33.333333333333336
8,1,GeoMol,98.80952380952381
8,2,GeoMol,98.87640449438203
8,3,GeoMol,98.2885085574572
8,4,GeoMol,94.97816593886463
8,5,GeoMol,93.88185654008439
8,6,GeoMol,92.3076923076923
8,7,GeoMol,84.9802371541502
8,8,GeoMol,82.55813953488372
8,9,GeoMol,79.43262411347517
8,10,GeoMol,64.8936170212766
8,11,GeoMol,63.07692307692308
8,12,GeoMol,69.04761904761905
8,13,GeoMol,50.0
8,14,GeoMol,50.0
8,15,GeoMol,10.0
8,16,GeoMol,50.0
9,1,Torsional Diffusion,100.0
9,2,Torsional Diffusion,99.77426636568849
9,3,Torsional Diffusion,99.75550122249389
9,4,Torsional Diffusion,98.68995633187772
9,5,Torsional Diffusion,95.95744680851064
9,6,Torsional Diffusion,92.25
9,7,Torsional Diffusion,86.56126482213439
9,8,Torsional Diffusion,84.88372093023256
9,9,Torsional Diffusion,73.75886524822695
9,10,Torsional Diffusion,58.51063829787234
9,11,Torsional Diffusion,51.5625
9,12,Torsional Diffusion,40.476190476190474
9,13,Torsional Diffusion,53.57142857142857
9,14,Torsional Diffusion,33.333333333333336
9,15,Torsional Diffusion,30.0
9,16,Torsional Diffusion,66.66666666666667
