order,rb,method,cr
1,1,ConfGenX,99.70238095238095
1,2,ConfGenX,99.7752808988764
1,3,ConfGenX,100.0
1,4,ConfGenX,99.78165938864629
1,5,ConfGenX,99.36708860759494
1,6,ConfGenX,99.50372208436724
1,7,ConfGenX,98.41897233201581
1,8,ConfGenX,98.25581395348837
1,9,ConfGenX,98.58156028368795
1,10,ConfGenX,98.93617021276596
1,11,ConfGenX,95.38461538461539
1,12,ConfGenX,90.47619047619048
1,13,ConfGenX,92.85714285714286
1,14,ConfGenX,83.33333333333333
1,15,ConfGenX,80.0
1,16,ConfGenX,100.0
2,1,Conformator,100.0
2,2,Conformator,100.0
2,3,Conformator,99.50980392156863
2,4,Conformator,100.0
2,5,Conformator,99.15433403805497
2,6,Conformator,98.75930521091811
2,7,Conformator,98.41269841269842
2,8,Conformator,95.34883720930233
2,9,Conformator,93.61702127659575
2,10,Conformator,94.68085106382979
2,11,Conformator,89.23076923076923
2,12,Conformator,85.36585365853658
2,13,Conformator,82.14285714285714
2,14,Conformator,72.22222222222223
2,15,Conformator,70.0
2,16,Conformator,50.0
3,1,OMEGA,100.0
3,2,OMEGA,100.0
3,3,OMEGA,99.75550122249389
3,4,OMEGA,99.56331877729258
3,5,OMEGA,99.36708860759494
3,6,OMEGA,96.7741935483871
3,7,OMEGA,92.4901185770751
3,8,OMEGA,88.30409356725146
3,9,OMEGA,87.94326241134752
3,10,OMEGA,80.85106382978724
3,11,OMEGA,76.92307692307692
3,12,OMEGA,66.66666666666667
3,13,OMEGA,60.714285714285715
3,14,OMEGA,55.55555555555556
3,15,OMEGA,50.0
3,16,OMEGA,50.0
4,1,RDKit ETKDG,100.0
4,2,RDKit ETKDG,100.0
4,3,RDKit ETKDG,100.0
4,4,RDKit ETKDG,99.78165938864629
4,5,RDKit ETKDG,98.30866807610994
4,6,RDKit ETKDG,95.03722084367246
4,7,RDKit ETKDG,94.84126984126983
4,8,RDKit ETKDG,94.18604651162791
4,9,RDKit ETKDG,88.65248226950355
4,10,RDKit ETKDG,81.91489361702128
4,11,RDKit ETKDG,79.6875
4,12,RDKit ETKDG,85.71428571428571
4,13,RDKit ETKDG,85.71428571428571
4,14,RDKit ETKDG,83.33333333333333
4,15,RDKit ETKDG,60.0
4,16,RDKit ETKDG,66.66666666666667
5,1,ConfGF,99.10714285714286
5,2,ConfGF,100.0
5,3,ConfGF,99.75550122249389
5,4,ConfGF,99.56331877729258
5,5,ConfGF,95.56962025316456
5,6,ConfGF,90.3225806451613
5,7,ConfGF,77.4703557312253
5,8,ConfGF,75.0
5,9,ConfGF,64.53900709219859
5,10,ConfGF,48.93617021276596
5,11,ConfGF,43.07692307692308
5,12,ConfGF,35.714285714285715
5,13,ConfGF,25.0
5,14,ConfGF,27.77777777777778
5,15,ConfGF,0.0
5,16,ConfGF,16.666666666666668
6,1,DMCG,99.10714285714286
6,2,DMCG,97.30337078651685
6,3,DMCG,90.95354523227384
6,4,DMCG,82.96943231441048
6,5,DMCG,72.9957805907173
6,6,DMCG,59.8014888337469
6,7,DMCG,48.616600790513836
6,8,DMCG,43.604651162790695
6,9,DMCG,32.6241134751773
6,10,DMCG,29.78723404255319
6,11,DMCG,21.53846153846154
6,12,DMCG,16.666666666666668
6,13,DMCG,17.857142857142858
6,14,DMCG,16.666666666666668
6,15,DMCG,10.0
6,16,DMCG,16.666666666666668
7,1,GeoDiff,100.0
7,2,GeoDiff,100.0
7,3,GeoDiff,99.75550122249389
7,4,GeoDiff,100.0
7,5,GeoDiff,100.0
7,6,GeoDiff,99.50372208436724
7,7,GeoDiff,97.23320158102767
7,8,GeoDiff,92.44186046511628
7,9,GeoDiff,87.23404255319149
7,10,GeoDiff,85.1063829787234
7,11,GeoDiff,81.53846153846153
7,12,GeoDiff,64.28571428571429
7,13,GeoDiff,50.0
7,14,GeoDiff,50.0
7,15,GeoDiff,0.0
7,16,GeoDiff,33.333333333333336
8,1,GeoMol,99.10714285714286
8,2,GeoMol,99.32584269662921
8,3,GeoMol,99.26650366748166
8,4,GeoMol,98.68995633187772
8,5,GeoMol,97.8902953586498
8,6,GeoMol,96.27791563275434
8,7,GeoMol,94.46640316205534
8,8,GeoMol,97.67441860465117
8,9,GeoMol,92.19858156028369
8,10,GeoMol,87.23404255319149
8,11,GeoMol,86.15384615384616
8,12,GeoMol,73.80952380952381
8,13,GeoMol,71.42857142857143
8,14,GeoMol,66.66666666666667
8,15,GeoMol,30.0
8,16,GeoMol,33.333333333333336
9,1,Torsional Diffusion,100.0
9,2,Torsional Diffusion,100.0
9,3,Torsional Diffusion,99.75550122249389
9,4,Torsional Diffusion,100.0
9,5,Torsional Diffusion,99.7872340425532
9,6,Torsional Diffusion,98.75
9,7,Torsional Diffusion,96.83794466403162
9,8,Torsional Diffusion,96.51162790697674
9,9,Torsional Diffusion,93.61702127659575
9,10,Torsional Diffusion,86.17021276595744
9,11,Torsional Diffusion,85.9375
9,12,Torsional Diffusion,71.42857142857143
9,13,Torsional Diffusion,74.07407407407408
9,14,Torsional Diffusion,77.77777777777777
9,15,Torsional Diffusion,50.0
9,16,Torsional Diffusion,83.33333333333333
