Precision Coverage: Mean = 0.00, Median = 0.00
Precision Coverage: Mean = 0.54, Median = 0.00
Precision Coverage: Mean = 2.15, Median = 0.00
Precision Coverage: Mean = 3.55, Median = 0.00
Precision Coverage: Mean = 5.07, Median = 0.00
Precision Coverage: Mean = 7.48, Median = 0.00
Precision Coverage: Mean = 9.63, Median = 0.00
Precision Coverage: Mean = 13.24, Median = 0.00
Precision Coverage: Mean = 16.04, Median = 0.00
Precision Coverage: Mean = 19.38, Median = 0.00
Precision Coverage: Mean = 22.57, Median = 0.00
Precision Coverage: Mean = 26.39, Median = 0.00
Precision Coverage: Mean = 29.93, Median = 0.00
Precision Coverage: Mean = 33.54, Median = 0.00
Precision Coverage: Mean = 37.12, Median = 0.00
Precision Coverage: Mean = 41.41, Median = 0.00
Precision Coverage: Mean = 46.06, Median = 0.00
Precision Coverage: Mean = 49.94, Median = 0.00
Precision Coverage: Mean = 53.97, Median = 100.00
Precision Coverage: Mean = 57.39, Median = 100.00
